1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,0.010310677176103258,0.009011115371614644,0.0,0.0,0.0,0.0,0.004870534694799655,0.0,0.0,0.0342946653930616,5000
1,1,0.010274561426781839,0.009489426924958248,0.06803096594649566,0.0,0.0,0.0008915125863750248,0.005033343879841444,0.0,0.0,0.03418931607109272,5000
2,1,0.010222039452315652,0.009675839180259237,0.057216674052004375,0.0009818173839389983,0.0,0.00047354008816171246,0.005134754873638455,0.0,0.0,0.03289343562382826,4775
3,1,0.010229864353223546,0.009652521238732234,0.04703930582215272,0.0,6.727306534112938e-05,0.0005250496034626156,0.004975674994195715,0.0,0.0,0.03181444402524302,4584
4,1,0.010291683615252482,0.009627793694305702,0.04033592847826649,0.0,0.00017383798776001908,0.0006932435275515155,0.005099851788704609,0.0,0.0,0.03130166471638183,4455
5,1,0.010414785066892219,0.010008096516264303,0.03271234935515231,0.0007039273274429084,0.0,0.0,0.005453463383936058,0.0,0.0,0.030436562242780657,4320
6,1,0.010651177346278465,0.01067083199669188,0.025739327265996162,0.0,0.0,0.0,0.005706024512763897,0.0,0.0,0.029425049665268866,4112
7,1,0.01070232290303079,0.010380045905516352,0.021541179346188658,0.0,0.00015743236089558435,0.0,0.005943788369775548,0.0,0.0,0.02873442803245336,3890
8,1,0.010855855967101076,0.010618915446569191,0.01844424713138623,0.0,0.00022847323414588113,0.0,0.006048884367344143,0.0,0.0,0.028617337038520076,3693
9,1,0.01117373566040438,0.010858492365003474,0.01690787352852921,0.0,0.00023821663295713242,0.0,0.005855197139520946,0.0,0.0,0.028864466779889162,3397
10,1,0.011138887756795056,0.011275919288456792,0.014818312186111236,0.0,0.0002460918518540389,0.0,0.006457979744544972,0.0,0.0,0.029183898263172456,3183
11,1,0.011484891671514843,0.010951562197928193,0.013323219571175587,0.0,0.00017996141183093653,0.0,0.0062967781812555725,0.0,0.0,0.028968652891792047,2977
12,1,0.01153768177306654,0.010877553040833321,0.012333884776238273,0.0,0.0,0.0,0.006503091227243467,0.0,0.0,0.028518958703561068,2724
13,1,0.011398726801015712,0.010325618608437894,0.011634194610513517,0.0,0.0,0.0,0.006560587778091626,0.0,0.0,0.027966393740251394,2468
14,1,0.011958307112836826,0.010680881804093162,0.012082559395523652,0.0,0.0,0.0,0.007057008796988631,0.0,0.0,0.028152612184982086,2325
15,1,0.01429591474835769,0.01092220312237782,0.01430889055616919,0.0,0.0,0.0,0.007476025141925223,0.0,0.0,0.028289408671663893,2081
16,1,0.014818137517139122,0.011975403679564034,0.014819459236648572,0.0,0.0,0.0,0.007856998930182641,0.0,0.0,0.02694523837041119,1847
17,1,0.014434654624157585,0.01153160546893815,0.014420939033281961,0.0,0.0,0.0,0.006911334397944992,0.0,0.0,0.026489691982384923,1625
18,1,0.01655109915742259,0.011737243294662353,0.016555732467236944,0.0,0.0,0.0,0.005774051033724026,0.0,0.0,0.027737523404309256,1455
19,1,0.018101393706051093,0.011176368703113875,0.018183267276313024,0.0,0.0,0.0,0.005352058665021424,0.0,0.0,0.028809132142700804,1323
20,1,0.018353559149976252,0.011158350044811405,0.01849829117068435,0.0,0.0,0.0,0.005944510077249198,0.0,0.0,0.029512368249249337,1121
21,1,0.018846033974109107,0.011511580204442892,0.01894111185346738,0.0,0.0,0.0,0.0064919001492614,0.0,0.0,0.028968769573674974,900
22,1,0.017806306195670217,0.011653796519717409,0.018103533087461293,0.0,0.0,0.0,0.008027790031183205,0.0,0.0,0.028033094784413702,739
23,1,0.01822821831997457,0.011467561534743674,0.018504178725081973,0.0,0.0,0.0,0.008646123197760173,0.0,0.0,0.027982488862689146,648
24,1,0.020197071465154405,0.011159644593753563,0.020558046527635716,0.0,0.0,0.0,0.010586729428068856,0.0,0.0,0.028026386334082585,586
