1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,-0.5221695828066921,0.7067604616347535,0.0,0.0,0.0,0.0,0.021065487622568855,0.0,0.0,0.467772078818702,5000
1,1,-0.5219222137970796,0.7068035529640372,0.552257849609651,1.3780715383517014e-05,-4.667828196927678e-06,-4.807996906281479e-06,0.021017106257406534,0.0,0.0,0.46709363650498537,5000
2,1,-0.52180405356311,0.7066421759112551,0.5486645087655062,0.0,0.0,-5.08890443086524e-06,0.021012869065394957,0.0,0.0,0.4641627839859283,4724
3,1,-0.5218265661626604,0.70649149759709,0.5481328480654255,0.0,6.2422233510665055e-06,-4.964764068724782e-06,0.02113189163386987,0.0,0.0,0.46241705704174085,4616
4,1,-0.5216167368103268,0.7060838817213282,0.5496558601133537,0.0,-1.57578529601198e-06,0.0,0.02112348455567316,0.0,0.0,0.4608210095800977,4488
5,1,-0.5216469956045882,0.706137659765722,0.5518735723503521,0.0,5.045713293112375e-06,0.0,0.021226366925283006,0.0,0.0,0.4586687230913886,4309
6,1,-0.5214608993797245,0.7059588751970228,0.5555460915596778,0.0,4.9278944764148775e-05,0.0,0.021239084438448776,0.0,0.0,0.45857520469078317,4093
7,1,-0.5212714696405275,0.7060476795571692,0.5603672988910886,0.0,2.8995323762035715e-05,0.0,0.021457603877062255,0.0,0.0,0.45720132848590067,3975
8,1,-0.5210148543762053,0.7059914266437463,0.565588658560612,1.8553565149776227e-05,4.656197628094208e-05,0.0,0.021544001662265572,0.0,0.0,0.4561947583824281,3713
9,1,-0.5206443536702027,0.7060808742225343,0.5711698715007995,3.96942595223965e-05,3.320553499109535e-05,0.0,0.021449017494156838,0.0,0.0,0.4555349729830086,3471
10,1,-0.5205333679910299,0.7059914122252394,0.5766997281940452,4.296188799570884e-05,3.5939012146583086e-05,0.0,0.02139890355833963,0.0,0.0,0.45513999097550106,3207
11,1,-0.5200234714536307,0.706107641941906,0.5820731061711881,4.5880377889523236e-05,2.8785317670852137e-05,0.0,0.021451447114332726,0.0,0.0,0.45410731861115383,3003
12,1,-0.5194500472635267,0.7063302837537518,0.5875916424927345,0.0,1.0648227268485954e-05,0.0,0.02152322023787375,0.0,0.0,0.45435081112134934,2706
13,1,-0.5190578557182728,0.7064749265656735,0.5933306271807098,0.0,1.1799386973187139e-05,0.0,0.021494070523401958,0.0,0.0,0.4545256399966683,2442
14,1,-0.5184040569887969,0.7067179214693399,0.5987914914429221,0.0,0.0,0.0,0.021470821435594065,0.0,0.0,0.45392472974673553,2245
15,1,-0.5178732875812168,0.7067417585537963,0.6044676885942573,0.0,0.0,0.0,0.021502156516704764,0.0,0.0,0.45432280192444596,1964
16,1,-0.5174752237592154,0.706895873165021,0.6103206926215561,0.0,0.0,0.0,0.021462262972346945,0.0,0.0,0.4538247106799937,1725
17,1,-0.5171572473700833,0.7064604501851425,0.6162018961130304,0.0,0.0,0.0,0.021695687530997588,0.0,0.0,0.4532920346942152,1513
18,1,-0.5163725079977194,0.7064520130522324,0.6217166710422792,0.0,0.0,0.0,0.02186275393298168,0.0,0.0,0.45238930805060634,1318
19,1,-0.5163402613835099,0.7064540492130251,0.6278532597711604,0.0,0.0,0.0,0.022056583660513805,0.0,0.0,0.4510089690341028,1113
20,1,-0.5152862036884005,0.7071494909872248,0.6329822534113418,0.0,0.0,0.0,0.02184186576077464,0.0,0.0,0.4503173819059204,925
21,1,-0.5149813630897634,0.7073651204359618,0.6389887663900712,0.0,0.0,0.0,0.02171146478568464,0.0,0.0,0.4498359780520287,752
22,1,-0.5159562344253628,0.7067984096409926,0.6461653773909035,0.0,0.0,0.0,0.021539328584589422,0.0,0.0,0.4494279549008126,657
23,1,-0.5137331367419515,0.7067048892964952,0.6502786684238405,0.0,0.0,0.0,0.021264029219829114,0.0,0.0,0.4479966782671362,513
24,1,-0.5110546237690525,0.7060334867087624,0.6538217549164949,0.0,0.0,0.0,0.020888938923142225,0.0,0.0,0.4475583405970855,417
25,1,-0.5075232513558597,0.7066388187009902,0.6565063457669221,0.0,0.0,0.0,0.02143563226508885,0.0,0.0,0.45000228696613837,326
26,1,-0.5023487284508733,0.7072452362629404,0.6575419045281398,0.0,0.0,0.0,0.021600676972412018,0.0,0.0,0.44657318832478965,251
27,1,-0.4957976589961514,0.7066213408043126,0.6571947899787104,0.0,0.0,0.0,0.022220237783476274,0.0,0.0,0.44489062284864206,200
28,1,-0.49196092175999057,0.7058861223332992,0.6595556359655228,0.0,0.0,0.0,0.02315716155902896,0.0,0.0,0.44448753091611903,145
29,1,-0.48175723119878044,0.706201891742869,0.6555429122748808,0.0,0.0,0.0,0.024738581139964105,0.0,0.0,0.4348511830216223,116
30,1,-0.480900335485868,0.705443683690259,0.66087012267147,0.0,0.0,0.0,0.024594241284788466,0.0,0.0,0.43153901754174634,91
31,1,-0.478325137376072,0.7049660422112296,0.6644719257720825,0.0,0.0,0.0,0.026318086570929843,0.0,0.0,0.4257512139833319,63
32,1,-0.48547419524697233,0.7035258169545712,0.6777906360969189,0.0,0.0,0.0,0.025722056373424347,0.0,0.0,0.430044686523654,47
33,1,-0.46315267583363584,0.7050687487945947,0.6616311768137874,0.0,0.0,0.0,0.0263140931249982,0.0,0.0,0.4266984641580996,35
34,1,-0.45299353271961434,0.7048532469298713,0.657626258238547,0.0,0.0,0.0,0.02590608721112172,0.0,0.0,0.42756222186371545,30
35,1,-0.4564093787887023,0.7051121082894118,0.6671882502968549,0.0,0.0,0.0,0.025568378626972806,0.0,0.0,0.43446770496324083,17
36,1,-0.4531405698426851,0.7061671880331588,0.6700572661510664,0.0,0.0,0.0,0.0258339131170146,0.0,0.0,0.43271558165435403,14
37,1,-0.48040727033209524,0.707568742407212,0.7034532279410114,0.0,0.0,0.0,0.026046406265862795,0.0,0.0,0.44480451227629014,7
38,1,-0.46369449422459674,0.7026926986796987,0.6928609076615018,0.0,0.0,0.0,0.028463032898862168,0.0,0.0,0.4235109379077923,7
39,1,-0.42499478637569016,0.7040029671521484,0.6602726085430326,0.0,0.0,0.0,0.026807797686161983,0.0,0.0,0.414597637068715,4
40,1,-0.3947467675898401,0.7066833125440629,0.6361267101220057,0.0,0.0,0.0,0.02456100090800114,0.0,0.0,0.41294005893649144,4
41,1,-0.3947467675898401,0.7066833125440629,0.6422193012200064,0.0,0.0,0.0,0.02456100090800114,0.0,0.0,0.41294005893649144,4
42,1,-0.3947467675898401,0.7066833125440629,0.6483021225261754,0.0,0.0,0.0,0.02456100090800114,0.0,0.0,0.41294005893649144,4
43,1,-0.3947467675898401,0.7066833125440629,0.6543749339010327,0.0,0.0,0.0,0.02456100090800114,0.0,0.0,0.41294005893649144,1
44,1,-0.3947467675898401,0.7066833125440629,0.6604374956004936,0.0,0.0,0.0,0.02456100090800114,0.0,0.0,0.41294005893649144,1
