1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,-0.5222342825289503,0.706687000511676,0.0,0.0,0.0,0.0,0.021031555753264396,0.0,0.0,0.4673690329690577,5000
1,1,-0.522154546003175,0.7066022085927197,0.5514404663277571,0.0,7.67323727266011e-06,3.0221448515400343e-06,0.020937974189173897,0.0,0.0,0.4667944174728993,5000
2,1,-0.521937851574183,0.7066241865211046,0.5464811133437638,0.0,1.508764490235846e-05,2.4564854466734094e-05,0.0210287916830982,0.0,0.0,0.463161980649821,4674
3,1,-0.5220436542708413,0.7066097803823791,0.5463739535383142,0.0,1.6251797509090963e-05,2.576663594648006e-05,0.020839017571956813,0.0,0.0,0.46082093089643716,4456
4,1,-0.5220737258847248,0.706473739268819,0.549417923133216,0.0,1.6544709248066764e-05,5.687914658791655e-05,0.02068541705735203,0.0,0.0,0.4602531194530183,4239
5,1,-0.5220801147964177,0.7064272905360253,0.5529723436994978,1.2181553560731129e-05,4.332877007076937e-05,6.364050018073223e-05,0.02062429837198872,0.0,0.0,0.45919432467406157,3969
6,1,-0.5218028060571576,0.7062500792022274,0.55638444135831,0.0,4.960996984182654e-05,7.283935651002614e-05,0.020593538789534266,0.0,0.0,0.45791380921385616,3763
7,1,-0.5213444048770799,0.7063567848897009,0.5609204374485984,0.0,7.848191557516532e-05,0.00010537574359899154,0.020715135340496908,0.0,0.0,0.45759675069265876,3568
8,1,-0.5210308422053318,0.7061496361128399,0.5662370827420271,0.0,8.211832104756301e-05,0.00013762212011988705,0.02076052794614084,0.0,0.0,0.45697690081484915,3410
9,1,-0.5206046077398522,0.7060117455600546,0.5712533564247149,0.0,0.0,7.083043169495074e-05,0.020646305114997293,0.0,0.0,0.45686014048309903,3242
10,1,-0.5200971353626344,0.7057396359988035,0.5765953925883979,0.0,0.0,3.882858632990029e-05,0.020635602119973832,0.0,0.0,0.45712751459191386,2957
11,1,-0.5194240479915485,0.7059214251993515,0.5817142400090046,0.0,0.0,0.0,0.02065731473594442,0.0,0.0,0.45740181405001223,2681
12,1,-0.5191461095897696,0.7060473132641109,0.5872463746890906,0.0,0.0,0.0,0.020467717569337913,0.0,0.0,0.4581083677288617,2438
13,1,-0.5184653300645211,0.7061060300522313,0.5927482899146592,0.0,0.0,0.0,0.02066056543098688,0.0,0.0,0.45885493495175805,2231
14,1,-0.5176327819991242,0.7061207988446133,0.5977642220434588,0.0,0.0,0.0,0.02049619676254474,0.0,0.0,0.4586883438688992,1920
15,1,-0.5163930752467583,0.7061080369465798,0.6027035982588197,0.0,0.0,0.0,0.020397212604592162,0.0,0.0,0.45801851789637404,1698
16,1,-0.5157886006391821,0.7062366685397546,0.6080842459449393,0.0,0.0,0.0,0.020220790319641496,0.0,0.0,0.45815990549144947,1553
17,1,-0.5156380508674077,0.7065356129916324,0.6141436576921753,6.646888705388636e-05,0.0,0.0,0.02026125886059857,0.0,0.0,0.45705774702535945,1375
18,1,-0.5139443027899772,0.7066182213422103,0.6187533692479216,0.00014646589695367586,0.0,0.0,0.020269933036038565,0.0,0.0,0.45711121561769485,1248
19,1,-0.5136484150105315,0.7066127711145125,0.6245174592739048,0.0,0.0,0.0,0.020194363341562514,0.0,0.0,0.4549178184598034,1096
20,1,-0.5119033556743933,0.7062527564352907,0.6291916747147881,0.0,0.0,0.0,0.02023149657232937,0.0,0.0,0.45502764142273533,954
21,1,-0.5102271021251986,0.7064323519938923,0.6336719886551582,0.0,0.0,0.0,0.02015975759926159,0.0,0.0,0.45418110914493,803
22,1,-0.5109491837350806,0.7059158843386205,0.6404318197548339,0.0,0.0,0.0,0.020326881745529695,0.0,0.0,0.4536411042288906,661
23,1,-0.5091274612645691,0.7069739894836516,0.6453122005608971,0.0,0.0,0.0,0.020195977054089796,0.0,0.0,0.45130358415306043,545
24,1,-0.5069865715327319,0.7072260412769067,0.649281749937918,0.0,0.0,0.0,0.020101691619366584,0.0,0.0,0.450544746341117,443
25,1,-0.5036605050216472,0.7067466808935808,0.6501477461866396,0.0,0.0,0.0,0.019928825772510286,0.0,0.0,0.4503119806567016,355
26,1,-0.5027096469992315,0.7056041744615865,0.6556094197537453,0.0,0.0,0.0,0.019712976274493248,0.0,0.0,0.4491309350784741,306
27,1,-0.49840565273266874,0.7057545204905429,0.6588971401537138,0.0,0.0,0.0,0.019549064561767575,0.0,0.0,0.44854002033492235,272
28,1,-0.4854356044466266,0.7055828774199809,0.6519522760889201,0.0,0.0,0.0,0.019885070170003315,0.0,0.0,0.4482168879757127,240
29,1,-0.48095112522655636,0.7056636831527285,0.6533606025010389,0.0,0.0,0.0,0.019577881125468658,0.0,0.0,0.4503371627269427,197
30,1,-0.4865958678038098,0.705452481482415,0.6647006526135069,0.0,0.0,0.0,0.019766846445499635,0.0,0.0,0.45277273678062807,152
31,1,-0.4766152294845319,0.7040075022184016,0.6627620178805416,0.0,0.0,0.0,0.020005274954676227,0.0,0.0,0.4498685621239352,128
32,1,-0.4639191996106424,0.7053238667649722,0.6562356404605881,0.0,0.0,0.0,0.019662324597989063,0.0,0.0,0.4487762752886016,122
33,1,-0.45988426341105876,0.7053966758488845,0.6583627643912116,0.0,0.0,0.0,0.019504368910309138,0.0,0.0,0.44820799900259933,97
34,1,-0.45780518367118767,0.7068026702384016,0.6624379091901219,0.0,0.0,0.0,0.020066983644293296,0.0,0.0,0.44548192424507893,74
35,1,-0.45471873632526155,0.7073335316737844,0.665497607833414,0.0,0.0,0.0,0.02001226264117195,0.0,0.0,0.4448416809803388,49
36,1,-0.4548859297645557,0.7096222160080907,0.6718026260729372,0.0,0.0,0.0,0.01961978359045382,0.0,0.0,0.4449080689858901,41
37,1,-0.442928261339572,0.7093165557491182,0.6659742189484881,0.0,0.0,0.0,0.01950067671322969,0.0,0.0,0.4487700312945057,33
38,1,-0.43385810427381144,0.7086654323277007,0.6630245177107166,0.0,0.0,0.0,0.01843589467416787,0.0,0.0,0.4494515682885333,25
39,1,-0.43229874728934814,0.7071681222944013,0.6675765694566905,0.0,0.0,0.0,0.019233444368638598,0.0,0.0,0.44757688878983576,18
40,1,-0.4306924868759284,0.7053780566541117,0.6720724294080939,0.0,0.0,0.0,0.018850142970455553,0.0,0.0,0.44802195440518044,18
41,1,-0.43776620903845626,0.7004740327284611,0.6852387426686225,0.0,0.0,0.0,0.017612202935309514,0.0,0.0,0.4518988698938653,13
42,1,-0.43282881240355986,0.7023249089772576,0.6863841673398952,0.0,0.0,0.0,0.01789397412883784,0.0,0.0,0.4504652134500275,9
43,1,-0.439247428028925,0.7035649931913095,0.6988755943401175,0.0,0.0,0.0,0.017527671577251023,0.0,0.0,0.4523289668270166,5
