1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,-0.5221454833410392,0.7070027721076322,0.0,0.0,0.0,0.0,0.021004180704093864,0.0,0.0,0.46691636523898067,5000
1,1,-0.5218584680084332,0.7069663874120277,0.551677732670123,0.0,-1.662658130123516e-05,-7.816745046181311e-06,0.021015115284415735,0.0,0.0,0.4662068871073584,5000
2,1,-0.5216847920261455,0.7067414387587713,0.5489588496135586,9.098485706683325e-06,0.0,-8.354793764623036e-06,0.021021753769415782,0.0,0.0,0.46339544866086585,4678
3,1,-0.5215351381346574,0.7066692097502648,0.5481698633762982,9.553920569217643e-06,0.0,-8.773002296499788e-06,0.021128547939353037,0.0,0.0,0.46110257907489405,4455
4,1,-0.521541480846054,0.7067288101144876,0.5500436164290926,0.0,0.0,1.6616986544760688e-06,0.021126004359135114,0.0,0.0,0.4599355602521422,4277
5,1,-0.5210100571978808,0.7066187797415326,0.5527413856004089,0.0,0.0,3.4333744662773655e-06,0.0211322381489714,0.0,0.0,0.45890752228269366,4140
6,1,-0.5207910359969427,0.706542648850163,0.5567164517449996,0.0,0.0,1.7772155901960857e-06,0.021075011714260315,0.0,0.0,0.458250773879571,3999
7,1,-0.520581089788746,0.7067670272922391,0.5609702057749479,0.0,0.0,0.0,0.020974837713926216,0.0,0.0,0.45733658922084663,3788
8,1,-0.5200985420847846,0.7065563088422757,0.5653072023206712,0.0,0.0,0.0,0.020929083645072,0.0,0.0,0.45706773880115265,3583
9,1,-0.5198945687764089,0.7064903897216169,0.5704942578871024,0.0,0.0,0.0,0.020916507345732173,0.0,0.0,0.45673154952771144,3384
10,1,-0.5194223639955771,0.7065570182468707,0.5757773875706439,0.0,0.0,4.572773163643328e-07,0.021086724989227222,0.0,0.0,0.45647864441549296,3077
11,1,-0.5192750232465199,0.7062788539606308,0.5815105537509331,0.0,0.0,4.916290364965241e-07,0.021117568685053874,0.0,0.0,0.4566122148432653,2862
12,1,-0.5187719261337045,0.7063606250011856,0.5869519819782636,0.0,0.0,0.0,0.021032496822855833,0.0,0.0,0.45602181245271867,2582
13,1,-0.5187463048141435,0.7067618874979731,0.5930732264063214,0.0,-3.144414286285573e-05,0.0,0.021126298958776848,0.0,0.0,0.4551107900588388,2358
14,1,-0.518826883664002,0.707007349967924,0.5993492504639875,0.0,-3.507345736547484e-05,0.0,0.021254595895247162,0.0,0.0,0.4555380304718075,2114
15,1,-0.5186552501675326,0.7069150321538238,0.6053156668085755,0.0,0.0,0.0,0.021318018173769555,0.0,0.0,0.4552103015435194,1835
