1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,0.01009699992899873,0.008750340176772776,0.0,0.0,0.0,0.0,0.0049191830206514325,0.0,0.0,0.035286926202687474,5000
1,1,0.010191028032108562,0.008687053129309733,0.07017692360058367,0.00145248242660653,9.357710560009157e-05,0.0,0.0053127080535980906,0.0,0.0,0.03529125508956325,5000
2,1,0.010403246373938245,0.008757345387687432,0.056670418734779515,0.001488805746407784,0.00029544416815285493,0.0,0.005343948648467189,0.0,0.0,0.03375067874181927,4759
3,1,0.010782955428465399,0.008903871083497503,0.04747725191615863,0.0,0.0004138124186924141,0.0,0.006106513238127448,0.0,0.0,0.032350305357409716,4595
4,1,0.010696734776332959,0.009024356929673249,0.03908269457822682,0.0,0.0003053910097350963,0.0,0.006949635578470278,0.0,0.0,0.03128631157519122,4454
5,1,0.011121859153019864,0.009382483760742187,0.03433001903169044,0.0,0.0003316060796074114,0.0005953169935568933,0.008210756937960152,0.0,0.0,0.0313334589273414,4175
6,1,0.011735854982304426,0.009576946582122344,0.030101461257941647,0.0,0.00015083274095114175,0.0,0.007350316681059154,0.0,0.0,0.030718582475427695,3848
7,1,0.011704787664488923,0.009701829434810407,0.025034151266423377,0.0,0.00015781385899721115,0.000803288917071343,0.007852974151222132,0.0,0.0,0.03077918582929243,3515
8,1,0.012534946615652003,0.01054592760606066,0.02223356838069287,0.0,0.00011408449298902574,0.0,0.00835270856544549,0.0,0.0,0.03081314024880255,3364
9,1,0.01372474436850179,0.010454537785415927,0.019151379915999116,0.0,0.00011708119712240934,0.0,0.008525663032759579,0.0,0.0,0.030485386962856468,3194
10,1,0.01365747823112943,0.01085797321176351,0.0173384084719313,0.0,0.00012123258305910911,0.0,0.008748760160133462,0.0,0.0,0.03082846387812037,2979
11,1,0.014341001850806882,0.010944338742445698,0.016911186211986663,0.0,0.0001253164909586561,0.0,0.0098215030248259,0.0,0.0,0.0316164499994602,2788
12,1,0.014659359938260716,0.010623088924544982,0.016121010979227083,0.0,0.0,0.0,0.011550939667627868,0.0,0.0,0.031949287052017356,2582
13,1,0.015507642169349916,0.010883356562245667,0.016041393908754534,0.0,0.0,0.0013304015319731365,0.011247350035689831,0.0,0.0,0.03215808913981309,2293
14,1,0.015072408301515974,0.011247876785221355,0.015246918115450972,0.0,0.0,0.0013915189483705251,0.011055242722732644,0.0,0.0,0.031876392099944244,2096
15,1,0.015669524830817193,0.01042685868912786,0.01571865554287027,0.0,0.0,0.0014619155355425437,0.011922627045176546,0.0,0.0,0.03240041620861838,1899
16,1,0.015904360938987967,0.010926497822361013,0.015912482129780754,0.0,0.0,0.0023448879690544113,0.010840825271199317,0.0,0.0,0.03292070957677981,1712
17,1,0.016918635401663128,0.011264088974473523,0.016920824384955437,0.0,0.0,0.003532190884462928,0.009906910912862948,0.0,0.0,0.03296246536386101,1508
18,1,0.016846123321763152,0.011661178092626756,0.016887473694545685,0.0,0.0,0.0038336648793253917,0.011245134717271303,0.0,0.0,0.0330148643510083,1280
19,1,0.01680337854485821,0.01103614853447765,0.01689657528898532,0.0,0.0,0.005907326826373593,0.01126577737668357,0.0,0.0,0.03336155577480418,1076
20,1,0.01878259297206134,0.012088672239535716,0.018870332147232962,0.0,0.0,0.004468200369010826,0.00987012786521655,0.0,0.0,0.03266314549578891,942
21,1,0.019289206690827468,0.012881111923663606,0.019323969143094543,0.0,0.0,0.0033476059842492286,0.006307282283221784,0.0,0.0,0.031399737443732395,840
22,1,0.021244564589936166,0.014218184582585365,0.02150440154684573,0.0,0.0,0.0,0.006556182946216474,0.0,0.0,0.03254190890099382,695
23,1,0.023441040829521746,0.012623995130452943,0.023762319571770735,0.0,0.0,0.0,0.0057235304643506344,0.0,0.0,0.03452479426050327,575
24,1,0.023074195322684912,0.011639897579270968,0.02337216473801298,0.0,0.0,0.0,0.005837998193973511,0.0,0.0,0.032310705324186714,469
25,1,0.021848833114990404,0.014160943922946746,0.023027366534803695,0.0,0.0,0.0,0.006005371443629391,0.0,0.0,0.03310868353819353,369
26,1,0.020018900501855473,0.016790663823231123,0.021245110055731747,0.0,0.0,0.0,0.008251247249372613,0.0,0.0,0.03220376966939083,293
27,1,0.023145789315243328,0.01773329426896958,0.02686971775555005,0.0,0.0,0.0,0.0075083723029685705,0.0,0.0,0.03232965013063851,255
28,1,0.024629289261907324,0.01674007257076991,0.029639605036819245,0.0,0.0,0.0,0.006682288681000933,0.0,0.0,0.033568199590332776,200
29,1,0.026027314486061954,0.017430788371341467,0.03814693320723395,0.0,0.0,0.0,0.005491866852443622,0.0,0.0,0.03653695673112282,163
30,1,0.028828416068437727,0.01587553196749605,0.040540233634725635,0.0,0.0,0.0,0.006718115709725777,0.0,0.0,0.03780108479082755,118
31,1,0.03249358605824886,0.01957323454988746,0.041684956818751284,0.0,0.0,0.0,0.003368923619379546,0.0,0.0,0.036169883166708876,79
32,1,0.03379232273189951,0.021224212099361355,0.040485777197644644,0.0,0.0,0.0,0.003237676251708726,0.0,0.0,0.03653077440560897,61
33,1,0.0386583249470825,0.01943142060385708,0.04517424366273987,0.0,0.0,0.0,0.0032582554827476078,0.0,0.0,0.03415683206175712,58
34,1,0.034807988055645084,0.01829186071495872,0.04470420474335648,0.0,0.0,0.0,0.0030408869572311472,0.0,0.0,0.038293053667944124,51
35,1,0.03846743955287694,0.02014912140336944,0.052006506085774167,0.0,0.0,0.0,0.0032085409741340067,0.0,0.0,0.03844146404937015,35
36,1,0.04276945072744923,0.022549179711117622,0.042769450727449226,0.0,0.0,0.0,0.0032130040152160894,0.0,0.0,0.030163397269282792,26
37,1,0.04367129214938875,0.022758369957591736,0.04367129214938875,0.0,0.0,0.0,0.003589156606100809,0.0,0.0,0.03208310521657981,18
38,1,0.04508697999795893,0.012204165841795185,0.04508697999795893,0.0,0.0,0.0,0.0036271811999250237,0.0,0.0,0.02016502110983317,16
39,1,0.04466944310446622,0.01150762611658253,0.04466944310446622,0.0,0.0,0.0,0.003368948424235321,0.0,0.0,0.020303202124533713,14
40,1,0.04285208553586867,0.007810755126215733,0.04285208553586867,0.0,0.0,0.0,0.00243281569795949,0.0,0.0,0.019178719921749493,16
41,1,0.04430778465090011,0.007946893236080492,0.04430778465090011,0.0,0.0,0.0,0.002919002945682082,0.0,0.0,0.020508014589534294,10
42,1,0.039617537387902094,0.005169869207785992,0.03961753738790204,0.0,0.0,0.0,0.002722896821338666,0.0,0.0,0.017913324095339796,7
43,1,0.044369505424633304,0.0018469551279001737,0.0443695054246333,0.0,0.0,0.0,0.002093066595106276,0.0,0.0,0.01448769462039462,4
44,1,6.798699777552591e-17,0.0,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
45,1,,,,,,,,,,,1
46,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
