1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,0.010093148183278933,0.008642990926148671,0.0,0.0,0.0,0.0,0.005005802612996568,0.0,0.0,0.03476891076724409,5000
1,1,0.010371139619884463,0.008782027114828981,0.06929320645292743,0.0,0.0,0.0,0.005056335027907837,0.0,0.0,0.03462356824453908,5000
2,1,0.010541795514629346,0.009225725275325046,0.058112614556223734,0.0,0.0012529230381408407,0.0007061861804509695,0.005246180362592937,0.0,0.0,0.03305138105822688,4729
3,1,0.010731884402162755,0.009472053789288839,0.046661445946153006,0.0,0.001869241218516591,0.0007128498905887801,0.005010855123215909,0.0,0.0,0.03173357155848766,4641
4,1,0.011023257518014539,0.008994635280943419,0.038058892771635114,0.00017361076136743883,0.0021782606190342145,0.0008095306201868879,0.005206404156437255,0.0,0.0,0.03100442504827538,4595
5,1,0.011073176588537625,0.009125445800043463,0.03120097595181367,0.0,0.0031313428319625254,0.0,0.005205007504659841,0.0,0.0,0.030250928817810416,4444
6,1,0.011455338092386231,0.00928422729926829,0.027576841674672982,0.0,0.002997494005114019,0.0,0.005096504014243513,0.0,0.0,0.02995200681507851,4042
7,1,0.011337881757999907,0.009522998102157764,0.022852668722848943,0.0,0.0031190738593796005,0.0,0.005217003542377867,0.0,0.0,0.029408958338142513,3953
8,1,0.011509188316651372,0.009441708507988334,0.019042169721911365,0.0,0.001976309573829152,0.0,0.00519349217535171,0.0,0.0,0.02957748550577505,3722
9,1,0.011746412256322593,0.009675101218151995,0.01657239458444672,0.0,0.0014435639948320465,0.0,0.005565183862881024,0.0,0.0,0.0297250574621598,3489
10,1,0.011987627635614114,0.009780187121285656,0.015047389049389855,0.0,0.00035683486976604835,0.0,0.005777390586671638,0.0,0.0,0.030233380683950612,3207
11,1,0.012152227411135183,0.010521829989362647,0.013860905334878512,0.0,0.0,0.0,0.005638261757338993,0.0,0.0,0.030953775407514147,2970
12,1,0.011374446766892915,0.010807077136193907,0.012101782307320019,0.0,0.0,0.00024520139956339784,0.0050929172219644795,0.0,0.0,0.031654565720354674,2669
13,1,0.011710387265365621,0.010128264117876914,0.011910156862556972,0.0,0.0,0.0002608707166362468,0.004983243421554105,0.0,0.0,0.03178989635205613,2358
14,1,0.012994709230833325,0.009420901498568618,0.012829814846384293,0.0,0.0,0.0,0.005371109823158895,0.0,0.0,0.03145972405605683,2139
15,1,0.013093994146138248,0.009741777620080015,0.012670326983036167,0.0,0.0,0.0,0.005440252782158105,0.0,0.0,0.031226438886105073,1910
16,1,0.01359142587793557,0.009971573142504048,0.013481946041566642,0.0,0.0,0.0,0.005743943297007996,0.0,0.0,0.03102898354960839,1680
17,1,0.013275711232775832,0.009652658427120014,0.013047589526292348,0.0,0.0,0.0,0.005400998134006913,0.0,0.0,0.03172558104876573,1497
18,1,0.01413337636999372,0.010111141632865176,0.013943457053584284,0.0,0.0,0.0,0.006131914429033624,0.0,0.0,0.031223961633512518,1250
19,1,0.014754968441788533,0.011779811503147632,0.014818421361699636,0.0,0.0,0.0,0.006614304236822478,0.0,0.0,0.03234730909483763,1055
20,1,0.013187670298524202,0.012712296912557378,0.013849627882925241,0.0,0.0,0.0,0.007617439745160527,0.0,0.0,0.031051078403206145,878
21,1,0.01366579247139343,0.014584321946031856,0.014104985485218673,0.0,0.0,0.0,0.00820208077431167,0.0,0.0,0.030828545303681947,770
22,1,0.013078078606161557,0.012479281859979166,0.014386777122472471,0.0,0.0,0.0,0.007961979579388252,0.0,0.0,0.0317298688289482,664
23,1,0.013089105797382294,0.011520294682951843,0.014006486959587316,0.0,0.0,0.0,0.007466317877921366,0.0,0.0,0.031891513854573256,535
24,1,0.012070052008377182,0.011083571305198932,0.015753987229985663,0.0,0.0,0.0,0.006141843291824214,0.0,0.0,0.031738762621588826,428
25,1,0.012142918049058017,0.013517651144701314,0.014589232227748898,0.0,0.0,0.0,0.005756988223287928,0.0,0.0,0.03202260788519764,348
26,1,0.01108649802019815,0.011090163049641284,0.014820683452996157,0.0,0.0,0.0,0.004838950367804855,0.0,0.0,0.03133657247356125,295
27,1,0.009626698028387767,0.014377450717627555,0.009626698028387774,0.0,0.0,0.0,0.0075866713172838,0.0,0.0,0.03165651238975521,227
28,1,0.009372887662913224,0.013836135659407984,0.009372887662913224,0.0,0.0,0.0,0.008176232854215964,0.0,0.0,0.028348007410668022,174
29,1,0.008765660201980248,0.01331357085729844,0.008765660201980245,0.0,0.0,0.0,0.0092409326354305,0.0,0.0,0.028525676755014804,127
30,1,0.008044718028499947,0.009985783882236114,0.008044718028499924,0.0,0.0,0.0,0.009652042108253892,0.0,0.0,0.030001470215977804,107
31,1,0.0076137167879147495,0.00973694782746694,0.007613716787914739,0.0,0.0,0.0,0.004613854945150199,0.0,0.0,0.02847951142989922,88
32,1,0.007638524339272352,0.010455818288690783,0.007638524339272359,0.0,0.0,0.0,0.004226313994565884,0.0,0.0,0.02755374032627643,59
33,1,0.007982787267587105,0.014260020635925423,0.007982787267587105,0.0,0.0,0.0,0.005594119515037022,0.0,0.0,0.032079198741137335,46
34,1,0.006596657040918507,0.016891585750837303,0.006596657040918507,0.0,0.0,0.0,0.005895994116815221,0.0,0.0,0.0315348186229565,30
35,1,0.00641847839749682,0.006292419672710701,0.0064184783974968185,0.0,0.0,0.0,0.006550747977332236,0.0,0.0,0.02928487458095714,18
36,1,0.006093574930614695,0.005813453087439429,0.006093574930614695,0.0,0.0,0.0,0.0054356533223543415,0.0,0.0,0.04040041497535652,14
37,1,0.0050030909574782815,0.0053500267668969825,0.0050030909574782815,0.0,0.0,0.0,0.0033813588298567624,0.0,0.0,0.037022535133813865,11
38,1,0.005576463377144999,0.00968867821098722,0.005576463377144999,0.0,0.0,0.0,0.003196520609388074,0.0,0.0,0.03269604021219196,10
39,1,0.006475514975658947,0.0048344423221324765,0.006475514975658947,0.0,0.0,0.0,0.003980207902513975,0.0,0.0,0.02714170617044492,9
40,1,0.006284991562638938,0.005417909771322393,0.006284991562638938,0.0,0.0,0.0,0.003686132102672523,0.0,0.0,0.026890498795158587,7
41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
