1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,-0.521957999907944,0.7068872652205179,0.0,0.0,0.0,0.0,0.021097217608840053,0.0,0.0,0.4680784834312178,5000
1,1,-0.5217674514763618,0.707050215085325,0.5509362933025371,6.883879426528088e-06,0.0,0.0,0.021204288163802452,0.0,0.0,0.4679330818344305,5000
2,1,-0.521557423347937,0.7073756853862297,0.54759889240012,0.0,0.0,0.0,0.021258290763249074,0.0,0.0,0.465461532885213,4797
3,1,-0.5211571365209157,0.7072775854940541,0.546767823741455,0.0,0.0,-1.2811935072011459e-05,0.02128525622010369,0.0,0.0,0.46370950933389643,4608
4,1,-0.520883622021704,0.7073938138496036,0.5481831644151116,2.161436769567206e-06,0.0,-1.3254916212803953e-05,0.021367244589654864,0.0,0.0,0.46245306286423127,4454
5,1,-0.5207489558410567,0.707534832853478,0.5510626168070669,2.3058776938089424e-06,0.0,-3.892261381400377e-05,0.02146442406010461,0.0,0.0,0.46210513520987795,4175
6,1,-0.520467971503227,0.7076915929820781,0.555409601730443,0.0,-1.84090943790653e-05,0.0,0.02139486084130367,0.0,0.0,0.4610211817631216,3919
7,1,-0.5201544130127486,0.707808953782161,0.5601474387970617,0.0,-1.915807284559224e-05,0.0,0.021492043132890742,0.0,0.0,0.4600253436674333,3715
8,1,-0.5198646103363999,0.707975574717223,0.5648340845018118,0.0,0.0,0.0,0.021619260976778906,0.0,0.0,0.459237810569415,3474
9,1,-0.5195845531836141,0.7078839688344347,0.570330036029275,0.0,0.0,0.0,0.0215354828069186,0.0,0.0,0.4596081945088688,3318
10,1,-0.5194780837044483,0.707997580559689,0.5760162650217995,0.0,0.0,0.0,0.02156585914804286,0.0,0.0,0.45797265647115803,3039
11,1,-0.5189728117527319,0.7080500584375115,0.5813696879046696,0.0,0.0,0.0,0.021783750293619075,0.0,0.0,0.45770748193080185,2909
12,1,-0.5188132489199181,0.7080837619577468,0.5875139346237956,0.0,0.0,0.0,0.021663778236435095,0.0,0.0,0.45892533927481616,2677
13,1,-0.5186631047326822,0.7081305840279756,0.5934245253214316,0.0,0.0,0.0,0.02173569820678401,0.0,0.0,0.45814357526261723,2356
14,1,-0.5182622867807606,0.7075643154001653,0.5990524559280997,0.0,-1.8907152867437835e-05,0.0,0.021747392580312427,0.0,0.0,0.45813888646003553,2096
15,1,-0.5176115863158832,0.707545339034889,0.6044099352008264,0.0,0.0,0.0,0.02207025447365594,0.0,0.0,0.45861415155551183,1956
16,1,-0.5174771016290747,0.7077013311541109,0.61024881087948,0.0,0.0,0.0,0.021905729368161368,0.0,0.0,0.4587084586303164,1660
17,1,-0.5171017050941431,0.7070822781728109,0.6158237938339166,0.0,0.0,-1.342176487759813e-05,0.022418681748997908,0.0,0.0,0.45873338261502,1456
18,1,-0.5169896115005276,0.7076053837012201,0.6216819362430132,0.0,0.0,-3.248892711850852e-05,0.022332107455103126,0.0,0.0,0.458122264807512,1203
19,1,-0.5164895186388091,0.707273724776481,0.6271442900302175,0.0,0.0,-1.880855597861682e-05,0.022301495069519412,0.0,0.0,0.4589235943532551,1039
20,1,-0.5161567645743931,0.7071473522881258,0.6330588933318947,0.0,0.0,0.0,0.022278698276590275,0.0,0.0,0.45741840172860243,835
21,1,-0.5163082970751524,0.7077205873525857,0.6384336163691394,0.0,0.0,0.0,0.022269768659037775,0.0,0.0,0.45777285593439887,753
